super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,unitid,year,fips_ipeds,slevel,fourcat,public,private,forprofit,selective,more_selective,non_selective,total_enrollment,col_white,mkt_white,dif_white,col_hispa,mkt_hispa,dif_hispa,col_black,mkt_black,dif_black,col_asian,mkt_asian,dif_asian,col_amind,mkt_amind,dif_amind,col_pacis,mkt_pacis,dif_pacis,col_twora,mkt_twora,dif_twora
2690,CUNY Queens College,New York,NY,63300,48200,20.142742,1.2734835,35.4384,0.78856534,7.1382656,0.15883869,-7.1461072,-8.796628,1052.666666666667,190664,2009,New York,4-year,Public Selective,1,0,0,1,0,0,15270,44.0537,35.82365,8.230055,18.30386,22.96802,-4.664155,8.513425,18.79858,-10.28515,23.25475,7.589886,15.66486,0.2030124,0.242553,-0.0395405,NA,0.0250253,NA,NA,2.112954,NA
2690,CUNY Queens College,New York,NY,63300,48200,20.142742,1.2734835,35.4384,0.78856534,7.1382656,0.15883869,-7.1461072,-8.796628,1052.666666666667,190664,2010,New York,4-year,Public Selective,1,0,0,1,0,0,15337,43.3918,33.09188,10.29992,18.902,24.50142,-5.599414,8.208906,18.5982,-10.38929,23.49221,8.331706,15.1605,0.2021256,0.6001003,-0.3979748,0.2803677,0.0656779,0.2146899,0.436852,3.385952,-2.9491
2690,CUNY Queens College,New York,NY,63300,48200,20.142742,1.2734835,35.4384,0.78856534,7.1382656,0.15883869,-7.1461072,-8.796628,1052.666666666667,190664,2011,New York,4-year,Public Selective,1,0,0,1,0,0,15449,45.14208,33.60368,11.5384,18.84912,24.35492,-5.505805,8.019937,18.41593,-10.39599,22.51926,8.331183,14.18807,0.1165124,0.3207878,-0.2042754,0.1035666,0.0570988,0.0464678,0.1359311,2.532252,-2.396321
2690,CUNY Queens College,New York,NY,63300,48200,20.142742,1.2734835,35.4384,0.78856534,7.1382656,0.15883869,-7.1461072,-8.796628,1052.666666666667,190664,2012,New York,4-year,Public Selective,1,0,0,1,0,0,15257,41.18765,33.25269,7.934961,23.46464,24.59604,-1.1314,7.222914,18.48889,-11.26598,22.74366,8.387011,14.35665,0.1310874,0.3419275,-0.2108401,0.1769679,0.0485792,0.1283888,0.249066,2.697241,-2.448175
2690,CUNY Queens College,New York,NY,63300,48200,20.142742,1.2734835,35.4384,0.78856534,7.1382656,0.15883869,-7.1461072,-8.796628,1052.666666666667,190664,2013,New York,4-year,Public Selective,1,0,0,1,0,0,14424,35.30921,32.86381,2.445397,27.13533,24.73895,2.396379,7.279534,18.44977,-11.17023,24.11952,8.379503,15.74002,0.1733222,0.3597508,-0.1864286,0.3535774,0.0529064,0.300671,0.6031614,2.814249,-2.211087
2690,CUNY Queens College,New York,NY,63300,48200,20.142742,1.2734835,35.4384,0.78856534,7.1382656,0.15883869,-7.1461072,-8.796628,1052.666666666667,190664,2014,New York,4-year,Public Selective,1,0,0,1,0,0,14842,31.88923,32.3637,-0.4744649,28.47999,24.80437,3.675616,7.761757,18.33049,-10.56873,25.36046,8.442,16.91846,0.2762431,0.3811842,-0.1049411,0.5592238,0.0450514,0.5141724,0.9028433,3.091148,-2.188304
2690,CUNY Queens College,New York,NY,63300,48200,20.142742,1.2734835,35.4384,0.78856534,7.1382656,0.15883869,-7.1461072,-8.796628,1052.666666666667,190664,2015,New York,4-year,Public Selective,1,0,0,1,0,0,15148,29.10615,32.17935,-3.073195,28.67705,24.86439,3.81266,8.542382,18.21058,-9.668195,26.62398,8.607882,18.01609,0.310272,0.3746701,-0.0643981,0.4026934,0.0457305,0.3569629,1.432532,3.072576,-1.640043
2690,CUNY Queens College,New York,NY,63300,48200,20.142742,1.2734835,35.4384,0.78856534,7.1382656,0.15883869,-7.1461072,-8.796628,1052.666666666667,190664,2016,New York,4-year,Public Selective,1,0,0,1,0,0,15426,27.27862,32.14196,-4.863343,28.45845,24.88422,3.574225,9.198755,18.08217,-8.883412,27.60275,8.649035,18.95371,0.3306107,0.3763484,-0.0457377,0.5056399,0.0461956,0.45944430000000003,1.296512,3.233043,-1.93653
2690,CUNY Queens College,New York,NY,63300,48200,20.142742,1.2734835,35.4384,0.78856534,7.1382656,0.15883869,-7.1461072,-8.796628,1052.666666666667,190664,2017,New York,4-year,Public Selective,1,0,0,1,0,0,15762,26.29108,32.07713,-5.786049,29.06357,24.92707,4.136497,8.996321,18.00497,-9.008653,28.14363,8.734317,19.40932,0.3679736,0.3678008,1.728e-4,0.4123842,0.051145500000000003,0.3612388,1.300596,3.262542,-1.961945
4759,CUNY York College,New York,NY,36500,36400,30.660444,0.061246876,22.242035,0.29296112,6.8195066,0.089823179,-7.5450883,-9.301075,368,190691,2009,New York,4-year,Public Non-Selective,1,0,0,0,0,1,6918,7.661173,35.81606,-28.15488,20.10697,22.97083,-2.863862,50.20237,18.79897,31.4034,14.55623,7.591372,6.964859,0.4047412,0.2426005,0.1621408,NA,0.0250302,NA,NA,2.113368,NA
4759,CUNY York College,New York,NY,36500,36400,30.660444,0.061246876,22.242035,0.29296112,6.8195066,0.089823179,-7.5450883,-9.301075,368,190691,2010,New York,4-year,Public Non-Selective,1,0,0,0,0,1,7022,7.818285,33.07878,-25.2605,20.56394,24.5056,-3.941657,47.636,18.60223,29.03377,16.44831,8.3337,8.114605,0.5411564,0.6002716,-0.0591152,0.5126745,0.0656966,0.4469779,0.2848192,3.386472,-3.101653
4759,CUNY York College,New York,NY,36500,36400,30.660444,0.061246876,22.242035,0.29296112,6.8195066,0.089823179,-7.5450883,-9.301075,368,190691,2011,New York,4-year,Public Non-Selective,1,0,0,0,0,1,7422,7.652924,33.59251,-25.93958,20.08892,24.35945,-4.270527,47.08973,18.41935,28.67038,17.85233,8.332733,9.519597,0.6736729,0.3208474,0.3528255,0.6736729,0.0571094,0.6165635,0.4311506,2.531544,-2.100394
4759,CUNY York College,New York,NY,36500,36400,30.660444,0.061246876,22.242035,0.29296112,6.8195066,0.089823179,-7.5450883,-9.301075,368,190691,2012,New York,4-year,Public Non-Selective,1,0,0,0,0,1,7598,7.712556,33.24318,-25.53062,20.80811,24.60129,-3.793179,44.06423,18.48941,25.57482,19.82101,8.388799,11.43221,0.7501974,0.3420004,0.408197,0.881811,0.0485895,0.8332216,0.5396157,2.696524,-2.156909
4759,CUNY York College,New York,NY,36500,36400,30.660444,0.061246876,22.242035,0.29296112,6.8195066,0.089823179,-7.5450883,-9.301075,368,190691,2013,New York,4-year,Public Non-Selective,1,0,0,0,0,1,7361,6.928407,32.85065,-25.92225,22.85015,24.74539,-1.89523,41.81497,18.45084,23.36413,21.21994,8.381682,12.83826,0.8966173,0.3598444,0.5367729,0.9645429,0.0529202,0.9116227,0.9102024,2.814403,-1.904201
4759,CUNY York College,New York,NY,36500,36400,30.660444,0.061246876,22.242035,0.29296112,6.8195066,0.089823179,-7.5450883,-9.301075,368,190691,2014,New York,4-year,Public Non-Selective,1,0,0,0,0,1,7245,6.625259,32.34697,-25.72171,23.93375,24.8132,-0.8794487,40.23464,18.33038,21.90427,22.0842,8.445003,13.63919,0.952381,0.3813198,0.5710612,0.9937888,0.0450674,0.9487215,0.952381,3.091546,-2.139165
